KODE,NAMA_BAHAN,KATEGORI,SUMBER,AIR_g,ENERGI_kal,PROTEIN_g,LEMAK_g,KH_g,SERAT_g,ABU_g,KALSIUM_mg,FOSFOR_mg,BESI_mg,NATRIUM_mg,KALIUM_mg,TEMBAGA_mg,SENG_mg,RETINOL_mcg,BKAROTEN_mcg,KARTOTAL_mcg,THIAMIN_mg,RIBOFLAVIN_mg,NIASIN_mg,VIT_C_mg,BDD_pct
AP024,Roti putih,Serealia,DABM-1964,40.0,248,8.0,1.2,50.0,9.1,0.8,10,95,1.5,530,91.0,0.15,0.9,0,0,0,0.10,0.29,2.4,0,100
AP025,Tepung terigu,Serealia,KZGPI- 1990,11.8,333,9.0,1.0,77.2,0.3,1.0,22,150,1.3,2,0.0,0.00,2.8,0,0,0,0.10,0.07,1.0,0,100
AP026,Amparan tatak,Serealia,KZGMI-2001,58.4,191,1.3,5.5,34.0,,0.8,,,,,,,,,,,,,,,100
AP027,"Apang kukus, kue",Serealia,KZGMI-2001,49.5,202,3.0,0.3,46.7,,0.5,,,,,,,,,,,,,,,100
AP028,"Apem, kue",Serealia,KZGMI-2001,63.1,148,2.0,0.5,33.9,,0.5,,,,,,,,,,,,,,,100
AP029,Biskuit,Serealia,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,0,14,,0.09,0.15,1.4,0,100
AP030,"Bakpia, kue",Serealia,KZGPI- 1990,38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,,,,,,,1392,0.31,1.00,2.9,0,100
AP031,Bakwan,Serealia,KZGPI- 1990,40.5,280,8.2,10.2,39.0,3.4,2.1,204,79,7.0,,,,,0,,0,0.08,,,0,100
AP032,Bantal,Serealia,KZGMI-2001,52.3,190,3.3,0.3,43.5,3.4,0.6,9,0,0.4,164,84.0,0.20,0.9,,,,0.27,0.02,3.6,,100
AP033,Baruasa,Serealia,KZGMI-2001,5.3,417,6.5,8.2,79.3,,0.7,,,,,,,,,,,,,,,100
AP034,Batar daan,Serealia,KZGMI-2001,75.3,107,2.2,2.2,19.6,,0.7,20.0,30.0,0.6,200. 0,90.0,0.10,,,,,0.18,0.02,,,100
AP035,Bika ambon,Serealia,KZGPI- 1990,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,,,,,0,,408,0.10,,0.0,0,100
AP036,Bingka,Serealia,KZGMI-2001,44.4,273,5.3,10.6,39.1,,0.6,,,,,,,,,,,,,,,100
AP037,Bobengka,Serealia,KZGMI-2001,46.3,225,5.3,2.6,45.2,,0.6,,,,,,,,,,,,,,,100
AP038,Bolu peca,Serealia,KZGMI-2001,55.6,197,3.3,4.6,35.6,,0.9,,0,0.0,0,0.0,,,,,,,0.00,0.0,0,100
AP039,Brem,Serealia,KZGPI-1990,37.4,249,3.4,0.4,58.0,0.0,0.9,198,86,2.0,,,,,0,,240,0.34,0.00,0.0,0,100
AP040,Bubur tinotuan (Manado),Serealia,KZGMI-2001,80.9,156,2.3,0.2,15.6,8.2,1.0,41,20,0.4,486,164.0,0.30,0.4,,1437,,0.10,0.04,,15,100
